TC_plate,TC_well,Condition,TimeDays,CPM_in_100_uL_protein_depleted_medium,CPM_in_100_uL_cell_protein_extract,percentage_of_protein_depleted_medium_counted,percentage_of_cell_protein_extract_counted,CPM_ratio_protein_depleted_medium_over_cell_protein,CPM_ratio_protein_depleted_medium_over_total_observed_CPM,X_to_1_coeff_Ci_per_L_to_CPM_protein_depleted_medium,X_to_0_coeff_Ci_per_L_to_CPM_protein_depleted_medium,specific_activity_in_protein_depleted_medium_nanoCi_per_L,activity_in_protein_depleted_medium_picoCi,X_to_1_coeff_Ci_per_L_to_CPM_cell_protein_extract,X_to_0_coeff_Ci_per_L_to_CPM_cell_protein_extract,specific_activity_in_cell_protein_extract_nanoCi_per_L,activity_in_cell_protein_extract_picoCi,curie_ratio_protein_depleted_medium_over_cell_protein,curie_ratio_protein_depleted_medium_over_total_observed_CPM
18,1,DDTT,0,217,5902,0.181818182,0.666666667,0.134813058,0.118797591,66322046.11,21.95533141,2940.872305,441.1308457,110263860.3,464.2044674,49316.20859,7397.431289,0.059632976,0.056277011
18,2,DDTT,0,218,5864,0.181818182,0.666666667,0.13631196,0.11995998,66322046.11,21.95533141,2955.950247,443.3925371,110263860.3,464.2044674,48971.58072,7345.737108,0.060360523,0.056924529
18,3,DDTT,0,225,6399,0.181818182,0.666666667,0.128926395,0.114202658,66322046.11,21.95533141,3061.495845,459.2243767,110263860.3,464.2044674,53823.57845,8073.536768,0.056880199,0.053818965
18,4,DDTT,0,205,5971,0.181818182,0.666666667,0.125886228,0.111810789,66322046.11,21.95533141,2759.936994,413.9905491,110263860.3,464.2044674,49941.98026,7491.29704,0.055262867,0.052368816
18,5,DDTT,0,201,6329,0.181818182,0.666666667,0.116448096,0.104302293,66322046.11,21.95533141,2699.625224,404.9437836,110263860.3,464.2044674,53188.73763,7978.310644,0.05075558,0.048303888
18,6,DDTT,0,259,5898,0.181818182,0.666666667,0.161015033,0.13868471,66322046.11,21.95533141,3574.145891,536.1218837,110263860.3,464.2044674,49279.93198,7391.989796,0.072527411,0.067622898
18,7,TT,0,250,5796,0.181818182,0.666666667,0.158155049,0.136557752,66322046.11,21.95533141,3438.444408,515.7666612,110263860.3,464.2044674,48354.8782,7253.23173,0.071108532,0.066387794
18,8,TT,0,207,5590,0.181818182,0.666666667,0.135778175,0.119546385,66322046.11,21.95533141,2790.092879,418.5139319,110263860.3,464.2044674,46486.63235,6972.994852,0.060019252,0.056620907
18,9,TT,0,193,6291,0.181818182,0.666666667,0.112488741,0.101114498,66322046.11,21.95533141,2579.001684,386.8502526,110263860.3,464.2044674,52844.10975,7926.616463,0.048803957,0.046532965
18,10,TT,0,214,6383,0.181818182,0.666666667,0.122930701,0.109473097,66322046.11,21.95533141,2895.638477,434.3457715,110263860.3,464.2044674,53678.47198,8051.770797,0.05394413,0.051183102
18,11,TT,0,216,6435,0.181818182,0.666666667,0.123076923,0.109589041,66322046.11,21.95533141,2925.794362,438.8691543,110263860.3,464.2044674,54150.06802,8122.510203,0.054031222,0.051261501
18,12,V,0,232,6499,0.181818182,0.666666667,0.130891932,0.115742211,66322046.11,21.95533141,3167.041443,475.0562164,110263860.3,464.2044674,54730.49392,8209.574087,0.057866122,0.054700799
18,13,P,0,206,2140,0.181818182,0.666666667,0.352959502,0.260879576,66322046.11,21.95533141,2775.014937,416.2522405,110263860.3,464.2044674,15198.04883,2279.707325,0.182590211,0.154398547
18,14,P,0,184,4155,0.181818182,0.666666667,0.162374649,0.13969218,66322046.11,21.95533141,2443.300201,366.4950301,110263860.3,464.2044674,33472.39544,5020.859315,0.072994483,0.068028759
18,15,P,0,193,4000,0.181818182,0.666666667,0.176916667,0.15032217,66322046.11,21.95533141,2579.001684,386.8502526,110263860.3,464.2044674,32066.67647,4810.00147,0.080426223,0.074439348
18,16,P,0,202,3601,0.181818182,0.666666667,0.205683606,0.17059501,66322046.11,21.95533141,2714.703167,407.205475,110263860.3,464.2044674,28448.08376,4267.212565,0.095426574,0.08711362
18,17,P,0,206,3074,0.181818182,0.666666667,0.245716764,0.197249304,66322046.11,21.95533141,2775.014937,416.2522405,110263860.3,464.2044674,23668.63927,3550.29589,0.11724438,0.104940676
18,18,V,0,216,3645,0.181818182,0.666666667,0.217283951,0.178498986,66322046.11,21.95533141,2925.794362,438.8691543,110263860.3,464.2044674,28847.12657,4327.068985,0.101424118,0.092084526
18,19,TTP,0,219,2755,0.181818182,0.666666667,0.291470054,0.225688589,66322046.11,21.95533141,2971.02819,445.6542285,110263860.3,464.2044674,20775.57894,3116.336841,0.143005795,0.125113797
18,20,TTP,0,244,6792,0.181818182,0.666666667,0.131723596,0.116392021,66322046.11,21.95533141,3347.976753,502.196513,110263860.3,464.2044674,57387.75623,8608.163434,0.058339565,0.055123674
18,21,TTP,0,209,872,0.181818182,0.666666667,0.87882263,0.46775178,66322046.11,21.95533141,2820.248764,423.0373146,110263860.3,464.2044674,3698.360748,554.7541122,0.762567244,0.43264576
18,22,TTP,0,200,6531,0.181818182,0.666666667,0.112285,0.100949846,66322046.11,21.95533141,2684.547282,402.6820922,110263860.3,464.2044674,55020.70686,8253.10603,0.048791581,0.046521713
18,23,TTP,0,198,626,0.181818182,0.666666667,1.159744409,0.536982249,66322046.11,21.95533141,2654.391396,398.1587095,110263860.3,464.2044674,1467.348706,220.1023059,1.808971096,0.643997761
18,24,V,0,257,4872,0.181818182,0.666666667,0.193418172,0.162070745,66322046.11,21.95533141,3543.990006,531.5985009,110263860.3,464.2044674,39974.97931,5996.246897,0.088655206,0.081435523
19,1,DD,1,283,3650,0.181818182,0.666666667,0.284292237,0.221361018,66322046.11,21.95533141,3936.016512,590.4024768,110263860.3,464.2044674,28892.47234,4333.870851,0.136229827,0.119896366
19,2,DD,1,322,1390,0.181818182,0.666666667,0.84940048,0.459284232,66322046.11,21.95533141,4524.056271,678.6084406,110263860.3,464.2044674,8396.182852,1259.427428,0.538822981,0.350152673
19,3,DD,1,300,2315,0.181818182,0.666666667,0.475161987,0.322108346,66322046.11,21.95533141,4192.341535,628.8512302,110263860.3,464.2044674,16785.1509,2517.772634,0.2497649,0.199849508
19,4,DD,1,281,413,0.181818182,0.666666667,2.494753834,0.713856813,66322046.11,21.95533141,3905.860627,585.879094,110263860.3,464.2044674,,,,
19,5,DD,1,325,754,0.181818182,0.666666667,1.58045977,0.61247216,66322046.11,21.95533141,4569.290098,685.3935147,110263860.3,464.2044674,2628.2005,394.230075,1.738562221,0.634844886
