"treatment","TreatmentLong","maximum","mean","median"
"D","50 uM Dexa",20.59126,17.38339,18.43909
"D","50 uM Dexa",15.23155,11.62066,11.6619
"D","50 uM Dexa",18.43909,14.01107,14.14214
"D","50 uM Dexa",14.14214,9.67354,8.94427
"D","50 uM Dexa",22.62742,16.21658,15.6205
"D","50 uM Dexa",19.79899,14.31005,14.28217
"D","50 uM Dexa",25.45584,15.3582,14.4222
"D","50 uM Dexa",18.43909,13.66994,14.14214
"D","50 uM Dexa",14.4222,12.72474,12.80625
"D","50 uM Dexa",23.32381,16.86197,15.6205
"D","50 uM Dexa",26.90725,18.9325,18.43909
"D","50 uM Dexa",21.63331,11.68386,10.77033
"D","50 uM Dexa",14.4222,11.6523,12.64911
"D","50 uM Dexa",24.08319,17.41682,16.12452
"D","50 uM Dexa",33.52611,22.38377,20.88061
"D","50 uM Dexa",37.57659,26.41687,25.05993
"D","50 uM Dexa",58.82177,49.72417,49.39635
"D","50 uM Dexa",8.94427,7.47287,7.2111
"D","50 uM Dexa",21.54066,12.47893,8.24621
"D","50 uM Dexa",18.86796,10.73399,10.77033
"D","50 uM Dexa",22.62742,16.50106,15.6205
"D","50 uM Dexa",37.57659,13.8607,10
"D","50 uM Dexa",21.26029,18.01041,18.43909
"D","50 uM Dexa",16.97056,12.72166,12.80625
"D","50 uM Dexa",15.6205,9.99791,8.94427
"D","50 uM Dexa",22.62742,18.92762,19.69772
"D","50 uM Dexa",14.14214,10.10843,8.94427
"D","50 uM Dexa",34,28.02529,31.04835
"D","50 uM Dexa",15.6205,9.8838,8.48528
"D","50 uM Dexa",19.79899,14.53004,15.6205
"D","50 uM Dexa",32.80244,23.66072,23.32381
"D","50 uM Dexa",8.24621,7.02483,7.2111
"D","50 uM Dexa",8.48528,8.36575,8.36575
"D","50 uM Dexa",13.41641,11.05793,11.6619
"D","50 uM Dexa",28.63564,20.26468,18.43909
"D","50 uM Dexa",15.6205,11.40588,11.31371
"D","50 uM Dexa",20.59126,15.82947,16.97056
"D","50 uM Dexa",36.87818,22.56156,20.92578
"D","50 uM Dexa",21.26029,10.28802,8.48528
"D","50 uM Dexa",25.6125,19.95473,19.69772
"D","50 uM Dexa",22.62742,15.89987,15.6205
"D","50 uM Dexa",31.30495,23.05694,22.36068
"D","50 uM Dexa",29.73214,21.92218,20.59126
"D","50 uM Dexa",24,17.6362,18
"D","50 uM Dexa",36.71512,31.75551,31.62278
"D","50 uM Dexa",16.12452,13.17979,14.2111
"D","50 uM Dexa",48.33218,21.69487,19.69772
"D","50 uM Dexa",27.20294,17.84745,15.23155
"D","50 uM Dexa",16.12452,12.6758,13.41641
"D","50 uM Dexa",33.94112,18.12675,15.6205
"D","50 uM Dexa",21.63331,15.77249,17.02929
"D","50 uM Dexa",24,17.69959,16
"D","50 uM Dexa",20.39608,11.76094,11.6619
"D","50 uM Dexa",12.16553,9.19158,8.94427
"D","50 uM Dexa",161.22035,67.66693,52
"D","50 uM Dexa",15.6205,13.04124,13.77927
"D","50 uM Dexa",17.20465,13.50386,14.4222
"D","50 uM Dexa",16.12452,8.77851,8
"D","50 uM Dexa",26.30589,16.47222,15.23155
"D","50 uM Dexa",14.4222,12.58196,12.80625
"D","50 uM Dexa",15.6205,10.70069,10
"D","50 uM Dexa",16.97056,11.34307,10.77033
"D","50 uM Dexa",24.16609,18.21498,18.43909
"D","50 uM Dexa",15.23155,12.5101,11.83095
"D","50 uM Dexa",26.83282,21.54286,22.36068
"D","50 uM Dexa",22.80351,17.2449,16.97056
"D","50 uM Dexa",19.79899,11.8359,10
"D","50 uM Dexa",28,24.54725,26
"D","50 uM Dexa",29.52965,24.49541,25.05993
"D","50 uM Dexa",18.43909,13.81107,14.07107
"D","50 uM Dexa",24.08319,17.38183,18.11077
"D","50 uM Dexa",23.32381,17.86697,18.43909
"D","50 uM Dexa",24.16609,16.9461,16.97056
"D","50 uM Dexa",26.83282,20.56309,22.36068
"D","50 uM Dexa",26.90725,16.94706,17.88854
"D","50 uM Dexa",26,17.78899,18.86796
"D","50 uM Dexa",31.1127,18.91011,18.65353
"D","50 uM Dexa",18.43909,14.18164,14.14214
"D","50 uM Dexa",26.68333,22.73678,22.36068
"D","50 uM Dexa",24,14.9637,13.03276
"D","50 uM Dexa",25.05993,17.05109,18.43909
"D","50 uM Dexa",24.16609,16.58529,17.20465
"D","50 uM Dexa",17.88854,10.53291,10.77033
"D","50 uM Dexa",30.52868,22.69095,22.62742
"D","50 uM Dexa",18.43909,11.48347,11.48781
"D","50 uM Dexa",15.6205,10.2489,8.94427
"D","50 uM Dexa",21.63331,14.9786,14.14214
"D","50 uM Dexa",32.31099,25.14274,25.80625
"D","50 uM Dexa",19.79899,15.28964,15.23155
"D","50 uM Dexa",19.69772,12.7315,11.31371
"D","50 uM Dexa",11.6619,7.94227,7.2111
"D","50 uM Dexa",22.09072,15.66346,16.49242
"D","50 uM Dexa",26,18.49819,19.69772
"D","50 uM Dexa",22.80351,15.14173,14
"D","50 uM Dexa",19.69772,11.0507,10.77033
"D","50 uM Dexa",33.94112,20.27703,17.88854
"D","50 uM Dexa",36.87818,24.41847,21.63331
"D","50 uM Dexa",12.64911,9.6136,10
"D","50 uM Dexa",20,17.02031,16
"D","50 uM Dexa",28.63564,21.3367,21.54066
"D","50 uM Dexa",22,15.19452,14
"D","50 uM Dexa",21.26029,15.85789,16.97056
"D","50 uM Dexa",24.08319,17.17802,19.33569
"D","50 uM Dexa",14.14214,9.69145,8.94427
"D","50 uM Dexa",20,15.01596,15.23155
"D","50 uM Dexa",20.88061,10.62296,10.19804
"D","50 uM Dexa",15.23155,9.04726,8.48528
"D","50 uM Dexa",35.44009,23.97306,23.32381
"D","50 uM Dexa",23.32381,15.43611,17.20465
"D","50 uM Dexa",28,17.90103,17.88854
"D","50 uM Dexa",20,10.37947,10
"D","50 uM Dexa",16.12452,12.89522,13.41641
"D","50 uM Dexa",22.36068,18.61767,18
"D","50 uM Dexa",19.79899,16.49972,16.97056
"D","50 uM Dexa",17.88854,12.52456,13.41641
"D","50 uM Dexa",29.73214,22.79967,24.08319
"D","50 uM Dexa",21.26029,13.61361,12.15551
"D","50 uM Dexa",15.6205,9.27575,7.2111
"D","50 uM Dexa",23.32381,15.97278,14
"D","50 uM Dexa",37.36308,23.8799,21.77033
"D","50 uM Dexa",24,17.82875,22.80351
"D","50 uM Dexa",21.26029,13.99944,16
"D","50 uM Dexa",38.20995,29.66035,31.04835
"D","50 uM Dexa",22,20.37818,22
"D","50 uM Dexa",20.59126,16.06643,15.6205
"D","50 uM Dexa",18,11.8031,10
"D","50 uM Dexa",18.86796,15.7391,15.6205
"D","50 uM Dexa",19.69772,13.23103,12.64911
"D","50 uM Dexa",64.28063,61.61811,62.03225
"D","50 uM Dexa",34.23449,29.28214,30.26549
"D","50 uM Dexa",16,10.3098,10
"D","50 uM Dexa",23.32381,19.06226,19.79899
"D","50 uM Dexa",35.77709,26.68855,26
"D","50 uM Dexa",15.6205,9.83719,10
"D","50 uM Dexa",8.94427,7.7196,7.2111
"D","50 uM Dexa",17.08801,13.72841,14.28217
"D","50 uM Dexa",33.52611,19.78427,12.38516
"D","50 uM Dexa",34.4093,25.14364,25.45584
"D","50 uM Dexa",12.80625,10.7683,11.31371
"D","50 uM Dexa",17.88854,13.32995,12.80625
"D","50 uM Dexa",12.80625,9.04722,8.48528
"D","50 uM Dexa",19.79899,14.69904,15.23155
"D","50 uM Dexa",12,9.3551,10
"D","50 uM Dexa",32.55764,18.81459,16.97056
"D","50 uM Dexa",24,14.5828,14
"D","50 uM Dexa",26.90725,20.19555,21.07045
"D","50 uM Dexa",15.6205,12.45908,12.64911
"D","50 uM Dexa",29.73214,22.99258,25.53417
"D","50 uM Dexa",17.08801,13.34028,14
"D","50 uM Dexa",16,10.2592,8.48528
"D","50 uM Dexa",26.83282,16.76836,16.97056
"D","50 uM Dexa",16.12452,11.26917,11.31371
"D","50 uM Dexa",32.98484,20.8151,21.26029
"D","50 uM Dexa",32,16.83722,17.08801
"D","50 uM Dexa",39.29377,30.0642,31.46386
"D","50 uM Dexa",18,11.21808,10
"D","50 uM Dexa",34.9285,21.43084,22.80351
"D","50 uM Dexa",18.97367,14.77137,14.14214
"D","50 uM Dexa",14,9.41901,8.94427
"D","50 uM Dexa",24,15.77914,16.12452
"D","50 uM Dexa",20.39608,12.09154,11.6619
"D","50 uM Dexa",18.43909,14.23376,14.56022
"D","50 uM Dexa",12.80625,11.39265,11.31371
"D","50 uM Dexa",12.64911,9.82926,8.94427
"D","50 uM Dexa",18.86796,14.07709,13.41641
"D","50 uM Dexa",14.56022,10.36891,8
"D","50 uM Dexa",25.45584,17.74181,19.69772
"D","50 uM Dexa",18,16.05968,16.12452
"D","50 uM Dexa",15.23155,11.16506,10.77033
"D","50 uM Dexa",25.05993,18.54972,19.28284
"D","50 uM Dexa",21.26029,12.9216,14
"D","50 uM Dexa",21.54066,10.86601,8.94427
"D","50 uM Dexa",28,17.1954,16.30847
"D","50 uM Dexa",8.94427,8.1227,8.24621
"D","50 uM Dexa",19.69772,14.7988,14.56022
"D","50 uM Dexa",28,15.48891,11.38516
"D","50 uM Dexa",12.64911,10.6793,10.77033
"D","50 uM Dexa",32.55764,30.99777,31.1127
"D","50 uM Dexa",26.83282,22.93424,24.08319
"D","50 uM Dexa",32.31099,25.73957,26
"D","50 uM Dexa",20,13.22736,12
"D","50 uM Dexa",18.43909,12.64521,12.80625
"D","50 uM Dexa",29.52965,22.44639,24.16609
"D","50 uM Dexa",21.63331,14.13435,14.14214
"D","50 uM Dexa",17.08801,12.61409,13.41641
"D","50 uM Dexa",30.06659,22.3379,24.41311
"D","50 uM Dexa",26.90725,16.66099,16.12452
"D","50 uM Dexa",19.69772,14.69054,16.12452
"D","50 uM Dexa",31.62278,25.82574,25.05993
"D","50 uM Dexa",23.32381,14.25065,14.14214
"D","50 uM Dexa",14.14214,8.79374,8
"D","50 uM Dexa",28.28427,23.35709,22.80351
"D","50 uM Dexa",18.86796,14.16132,14.4222
"D","50 uM Dexa",19.69772,13.06703,14.14214
"D","50 uM Dexa",10,8.4949,8.94427
"D","50 uM Dexa",31.30495,17.73775,16.97056
"D","50 uM Dexa",35.44009,22.57578,24.16609
"D","50 uM Dexa",23.32381,14.14649,14.14214
"D","50 uM Dexa",22.80351,17.42807,17.20465
"D","50 uM Dexa",28,16.34315,16.06226
"D","50 uM Dexa",34,12.84192,11.48781
"D","50 uM Dexa",30,20.45068,18.86796
"D","50 uM Dexa",26,17.63152,18.11077
"D","50 uM Dexa",22.80351,19.30782,21.07045
"D","50 uM Dexa",16,10.80775,10
"D","50 uM Dexa",19.69772,13.47866,14.28217
"D","50 uM Dexa",32.55764,26.56125,27.78489
"D","50 uM Dexa",30,21.1057,20.59126
"D","50 uM Dexa",32.80244,20.6326,18.86796
"D","50 uM Dexa",28.28427,21.27109,23.06366
"D","50 uM Dexa",26.83282,17.93631,16.97056
"D","50 uM Dexa",41.18252,24.22473,24.08319
"D","50 uM Dexa",18.86796,14.0877,14.28217
"D","50 uM Dexa",24.33105,14.60434,13.41641
"D","50 uM Dexa",26.30589,17.39632,16.79021
"D","50 uM Dexa",23.32381,17.8429,17.20465
"D","50 uM Dexa",16.97056,12.4168,12.64911
"D","50 uM Dexa",18,12.05064,11.6619
"D","50 uM Dexa",50,46.50534,47.07441
"D","50 uM Dexa",27.78489,21.8716,22.62742
"D","50 uM Dexa",18.43909,11.67939,10.77033
"D","50 uM Dexa",24.16609,16.77063,17.20465
"D","50 uM Dexa",29.73214,18.31308,18.86796
"D","50 uM Dexa",18.43909,13.20219,12.64911
"D","50 uM Dexa",26,17.52748,16.49242
"D","50 uM Dexa",52.83938,47.2936,49.51767
"D","50 uM Dexa",26.83282,20.4269,20.63835
"D","50 uM Dexa",24.41311,15.85539,15.23155
"D","50 uM Dexa",18.86796,14.59778,15.23155
"D","50 uM Dexa",24.41311,18.97521,21.26029
"D","50 uM Dexa",14.14214,10.69163,10.77033
"D","50 uM Dexa",21.54066,12.8051,11.6619
"D","50 uM Dexa",22.80351,13.45056,11.48781
"D","50 uM Dexa",36.71512,26.02327,28.84441
"D","50 uM Dexa",10,7.84518,7.2111
"D","50 uM Dexa",18.43909,10.91825,11.6619
"D","50 uM Dexa",24,16.28687,16
"D","50 uM Dexa",37.36308,19.94769,22
"D","50 uM Dexa",24,13.87494,11.6619
"D","50 uM Dexa",14.4222,9.31222,8.48528
"D","50 uM Dexa",18,11.04419,10
"D","50 uM Dexa",20,19.77778,20
"D","50 uM Dexa",27.20294,18.85438,17.88854
"D","50 uM Dexa",28.28427,17.88537,16.30847
"D","50 uM Dexa",20.59126,10.72486,8.94427
"D","50 uM Dexa",15.6205,12.5528,12.64911
"D","50 uM Dexa",16.97056,10.9858,10.77033
"D","50 uM Dexa",33.52611,29.69538,31.30495
"D","50 uM Dexa",22.36068,11.51466,10
"D","50 uM Dexa",66.75328,29.75826,28
"D","50 uM Dexa",36.71512,27.87371,28.07134
"D","50 uM Dexa",15.23155,9.73415,10
"D","50 uM Dexa",11.6619,9.0249,8.94427
"D","50 uM Dexa",17.20465,11.24147,10
"D","50 uM Dexa",19.79899,13.69032,15.6205
"D","50 uM Dexa",25.05993,19.62496,21.63331
"D","50 uM Dexa",11.6619,7.91502,7.2111
"D","50 uM Dexa",14.14214,9.59083,10
"D","50 uM Dexa",28.28427,22.66546,22.36068
"D","50 uM Dexa",25.45584,22.45871,22.62742
"D","50 uM Dexa",17.08801,11.01707,11.31371
"D","50 uM Dexa",53.74012,32.50877,36.71512
"D","50 uM Dexa",14.4222,10.61105,10
"D","50 uM Dexa",22.36068,11.59581,10.77033
"D","50 uM Dexa",23.32381,15.94898,16.97056
"D","50 uM Dexa",31.04835,25.02332,25.29822
"D","50 uM Dexa",18.43909,11.79745,11.6619
"D","50 uM Dexa",11.31371,8.45271,8.48528
"D","50 uM Dexa",20.59126,14.86751,14.4222
"D","50 uM Dexa",22.36068,19.68546,20.73594
"D","50 uM Dexa",21.26029,15.4226,16.97056
"D","50 uM Dexa",22.62742,15.92217,15.23155
"D","50 uM Dexa",21.54066,20.1973,20
"D","50 uM Dexa",22.80351,14.13523,12.80625
"D","50 uM Dexa",20.88061,14.18335,13.41641
"D","50 uM Dexa",17.08801,14.56542,15.23155
"D","50 uM Dexa",24.33105,21.02341,22.36068
"D","50 uM Dexa",18.43909,12.18744,12
"D","50 uM Dexa",24.41311,21.85315,22.36068
"D","50 uM Dexa",32.55764,27.70912,29.52965
"D","50 uM Dexa",24.08319,14.89185,14.49121
"D","50 uM Dexa",24,18.183,18.86796
"D","50 uM Dexa",18.11077,13.75073,14
"D","50 uM Dexa",29.52965,20.9864,20.59126
"D","50 uM Dexa",23.32381,21.16161,22.36068
"D","50 uM Dexa",19.69772,15.37706,16.12452
"D","50 uM Dexa",14.4222,8.68671,8
"D","50 uM Dexa",22.80351,17.5713,18.43909
"D","50 uM Dexa",36.71512,19.10312,14.35118
"D","50 uM Dexa",37.36308,19.00623,14.56022
"D","50 uM Dexa",11.6619,10.83292,11.31371
"D","50 uM Dexa",38,21.36285,18.97367
"D","50 uM Dexa",27.20294,13.41453,11.04202
"D","50 uM Dexa",18.43909,14.60881,14.56022
"D","50 uM Dexa",17.88854,12.12628,12.64911
"D","50 uM Dexa",15.6205,11.78486,11.6619
"D","50 uM Dexa",10,6.9405,7.2111
"D","50 uM Dexa",29.52965,21.85703,22.58209
"D","50 uM Dexa",25.29822,18.66483,20
"D","50 uM Dexa",19.79899,15.31454,16.30847
"D","50 uM Dexa",19.69772,13.94973,13.41641
"D","50 uM Dexa",19.69772,13.32235,14.28011
"D","50 uM Dexa",28.63564,20.86414,20
"D","50 uM Dexa",14.4222,9.89625,8.94427
"D","50 uM Dexa",28.28427,19.03927,21.26029
"D","50 uM Dexa",32.24903,20.74321,19.69772
"D","50 uM Dexa",14.4222,9.5143,8.24621
"D","50 uM Dexa",14.14214,10.5858,10
"D","50 uM Dexa",19.79899,15.05541,15.6205
"D","50 uM Dexa",16,10.01127,9
"D","50 uM Dexa",17.08801,13.17093,13.41641
"D","50 uM Dexa",14.4222,11.20391,11.31371
"D","50 uM Dexa",12.64911,11.5128,12
"D","50 uM Dexa",28.63564,9.80087,10
"D","50 uM Dexa",34,23.99697,23.32381
"D","50 uM Dexa",26.30589,21.64875,22.71546
"D","50 uM Dexa",24.08319,18.79801,17.88854
"D","50 uM Dexa",18.43909,13.20443,13.41641
"D","50 uM Dexa",26.30589,20.29706,20
"D","50 uM Dexa",32.55764,22.41586,23.32381
"D","50 uM Dexa",41.76123,31.97502,31.62278
"D","50 uM Dexa",28.63564,24.59615,23.78775
"D","50 uM Dexa",24.08319,23.72884,24
"D","50 uM Dexa",18.86796,11.25203,10
"D","50 uM Dexa",37.36308,22.9824,22.80351
"D","50 uM Dexa",28.42534,17.82252,20
"D","50 uM Dexa",21.26029,12.16073,12
"D","50 uM Dexa",12.64911,8.41623,8.24621
"D","50 uM Dexa",44.72136,29.29574,30
"D","50 uM Dexa",28.63564,21.29799,22.36068
"D","50 uM Dexa",17.88854,12.45459,12
"D","50 uM Dexa",18.43909,12.40776,10
"D","50 uM Dexa",16.12452,11.54114,11.6619
"D","50 uM Dexa",19.79899,16.45436,17.88854
"D","50 uM Dexa",27.20294,19.33589,20.59126
"D","50 uM Dexa",11.31371,7.74801,7.2111
"D","50 uM Dexa",17.88854,14.65616,15.6205
"D","50 uM Dexa",15.23155,9.97686,9.47214
"D","50 uM Dexa",10,7.63598,7.2111
"D","50 uM Dexa",17.88854,13.59116,14
"D","50 uM Dexa",32.55764,22.36644,23.32381
"D","50 uM Dexa",12.16553,9.72132,10
"D","50 uM Dexa",38.20995,21.82114,18.97367
"D","50 uM Dexa",25.45584,21.0369,21.54066
"D","50 uM Dexa",24.08319,13.55429,12.80625
"D","50 uM Dexa",19.79899,17.40649,17.88854
"D","50 uM Dexa",22.80351,16.71388,18.43909
"D","50 uM Dexa",40.4475,26.72214,25.45584
"D","50 uM Dexa",36.71512,25.4978,27.20294
"D","50 uM Dexa",19.69772,15.02176,16.49242
"D","50 uM Dexa",39.84972,30.67705,28.63564
"D","50 uM Dexa",12.16553,9.34244,8.47214
"D","50 uM Dexa",19.79899,10.16314,8.48528
"D","50 uM Dexa",49.1935,36.36937,34.05877
"D","50 uM Dexa",32.24903,24.76568,22.97561
"D","50 uM Dexa",17.88854,14.46706,15.6205
"D","50 uM Dexa",15.6205,10.3193,10
"D","50 uM Dexa",24.08319,17.75306,17.88854
"D","50 uM Dexa",15.23155,13.25258,14.14214
"D","50 uM Dexa",29.73214,19.59365,19.69772
"D","50 uM Dexa",26.07681,16.10945,15.23155
"D","50 uM Dexa",26,18.96379,16
"D","50 uM Dexa",16.49242,13.28697,13.41641
"D","50 uM Dexa",18.43909,10.17932,10
"D","50 uM Dexa",30,17.89815,16.30847
"D","50 uM Dexa",25.29822,16.06899,17.48828
"D","50 uM Dexa",17.88854,13.25723,13.41641
"D","50 uM Dexa",24,21.3927,21.54066
"D","50 uM Dexa",10,7.53213,7.2111
"D","50 uM Dexa",18.11077,11.81921,10
"D","50 uM Dexa",36,28.219,29.73214
"D","50 uM Dexa",24.08319,19.72487,20.59126
"D","50 uM Dexa",14,13.11901,14
"D","50 uM Dexa",34.9285,17.16134,14.14214
"D","50 uM Dexa",18.86796,14.51984,14.4222
"D","50 uM Dexa",16.12452,9.53093,8.48528
"D","50 uM Dexa",19.69772,14.0254,13.77927
"D","50 uM Dexa",12.64911,9.3829,9
"D","50 uM Dexa",8.94427,7.13768,6.76783
"D","50 uM Dexa",12.80625,9.00958,8.94427
"D","50 uM Dexa",21.26029,13.21358,12.16553
"D","50 uM Dexa",21.26029,14.54049,15.23155
"D","50 uM Dexa",39.59798,27.31725,28.70235
"D","50 uM Dexa",23.4094,16.82539,16.49242
"D","50 uM Dexa",24.41311,13.62306,12.64911
"D","50 uM Dexa",28,20.92884,20.39608
"D","50 uM Dexa",13.41641,11.48072,11.31371
"D","50 uM Dexa",24.08319,10.6451,7.72866
"D","50 uM Dexa",38.47077,26.84063,28.63564
"D","50 uM Dexa",20.88061,16.7219,18
"D","50 uM Dexa",14,9.31029,8.12311
"D","50 uM Dexa",27.85678,8.99396,7.2111
"D","50 uM Dexa",12,9.47864,10
"D","50 uM Dexa",32,25.49246,24.41311
"D","50 uM Dexa",12,8.36982,8.24621
"D","50 uM Dexa",16.12452,12.19619,13.41641
"D","50 uM Dexa",38.47077,29.23889,28.84441
"D","50 uM Dexa",18.43909,15.20168,15.6205
"D","50 uM Dexa",28.63564,20.96382,20
"D","50 uM Dexa",24.73863,16.7934,16.12452
"D","50 uM Dexa",26.30589,20.46049,21.26029
"D","50 uM Dexa",18.97367,10.78183,10
"D","50 uM Dexa",27.78489,22.43567,22.36068
"D","50 uM Dexa",27.78489,16.22546,14.14214
"D","50 uM Dexa",25.6125,16.0868,16.12452
"D","50 uM Dexa",28,19.1354,18
"D","50 uM Dexa",26,18.91349,17.20465
"D","50 uM Dexa",14.14214,9.08748,8.94427
"D","50 uM Dexa",36.71512,20.18888,16.49242
"D","50 uM Dexa",26.68333,17.66265,17.88854
"D","50 uM Dexa",48.08326,26.97437,28.63564
"D","50 uM Dexa",34.52535,19.52365,18.86796
"D","50 uM Dexa",16,9.69984,10
"D","50 uM Dexa",28.28427,15.71924,14.4222
"D","50 uM Dexa",26,20.44911,19.69772
"D","50 uM Dexa",20.59126,14.02537,13.11133
"D","50 uM Dexa",18,14.27923,14
"D","50 uM Dexa",42.04759,20.89181,18.86796
"D","50 uM Dexa",14.14214,11.0401,10.77033
"D","50 uM Dexa",30.46309,23.2392,23.32381
"D","50 uM Dexa",18.86796,11.56271,11.31371
"D","50 uM Dexa",19.69772,13.80912,13.41641
"D","50 uM Dexa",17.88854,13.47579,14.14214
"D","50 uM Dexa",26.90725,18.66405,17.99966
"D","50 uM Dexa",21.26029,13.88555,13.41641
"D","50 uM Dexa",26.68333,11.4914,10.77033
"D","50 uM Dexa",22.36068,11.74809,10
"D","50 uM Dexa",37.94733,24.53553,25.01843
"D","50 uM Dexa",16.12452,9.41071,8.94427
"D","50 uM Dexa",36.76955,26.78614,26.07681
"D","50 uM Dexa",18.86796,13.35599,14.14214
"D","50 uM Dexa",45.25483,32.16365,31.62278
"D","50 uM Dexa",30,19.69317,19.79899
"D","50 uM Dexa",31.241,19.88476,19.69772
"D","50 uM Dexa",22,15.01189,12
"D","50 uM Dexa",21.63331,13.73153,12.64911
"D","50 uM Dexa",32.31099,22.20279,18.86796
"D","50 uM Dexa",21.54066,14.2699,13.41641
"D","50 uM Dexa",28,20.83851,21.44031
"D","50 uM Dexa",24.41311,15.48826,15.23155
"D","50 uM Dexa",19.79899,13.72132,14.14214
"D","50 uM Dexa",27.85678,17.50154,15.23155
"D","50 uM Dexa",26,20.3877,18.97367
"D","50 uM Dexa",52.80151,35.06103,34.98571
"D","50 uM Dexa",20.59126,16.11054,16.12452
"D","50 uM Dexa",29.52965,25.79832,25.29822
"D","50 uM Dexa",45.12206,28.95037,29.73214
"D","50 uM Dexa",28.84441,21.92123,22.62742
"D","50 uM Dexa",31.241,20.03996,18.43909
"D","50 uM Dexa",22.80351,14.41571,14.14214
"D","50 uM Dexa",17.88854,12.98131,13.41641
"D","50 uM Dexa",22,14.57185,14.4222
"D","50 uM Dexa",29.73214,24.68454,25.29822
"D","50 uM Dexa",20.59126,14.08137,14.4222
"D","50 uM Dexa",26.90725,13.36768,13.41641
"D","50 uM Dexa",20.88061,14.5547,15.23155
"D","50 uM Dexa",36.05551,32.16032,32.24903
"D","50 uM Dexa",31.04835,23.92171,22.44711
"D","50 uM Dexa",16.12452,10.36576,10
"D","50 uM Dexa",24.16609,15.45475,16.12452
"D","50 uM Dexa",16,11.67094,12
"D","50 uM Dexa",31.241,24.18142,24.41311
"D","50 uM Dexa",26.90725,14.62751,14.14214
"D","50 uM Dexa",22.62742,17.51016,17.20465
"D","50 uM Dexa",24,15.4425,15.23155
"D","50 uM Dexa",31.62278,25.16347,26
"D","50 uM Dexa",26.83282,17.74378,16.12452
"D","50 uM Dexa",22.36068,17.42982,18.43909
"D","50 uM Dexa",11.6619,10.04215,11.31371
"D","50 uM Dexa",26,16.43464,16.79021
"D","50 uM Dexa",26.90725,18.63177,18.43909
"D","50 uM Dexa",31.1127,20.96617,21.99699
"D","50 uM Dexa",19.69772,15.24211,16.12452
"D","50 uM Dexa",32.24903,17.69628,20.59126
"D","50 uM Dexa",49.39635,29.45898,28.03567
"D","50 uM Dexa",26.90725,16.69871,15.6205
"D","50 uM Dexa",19.69772,10.6056,10
"D","50 uM Dexa",18.86796,12.70618,12.64911
"D","50 uM Dexa",36.05551,24.03026,24.08319
"D","50 uM Dexa",15.23155,8.49327,8
"D","50 uM Dexa",17.20465,9.76446,10
"D","50 uM Dexa",20.88061,14.49119,15.23155
"D","50 uM Dexa",21.26029,15.02485,15.23155
"D","50 uM Dexa",17.08801,12.61223,12.64911
"D","50 uM Dexa",15.23155,12.28313,14
"D","50 uM Dexa",37.73592,24.90872,25.6125
"D","50 uM Dexa",22.36068,16.62789,14.56022
"D","50 uM Dexa",27.20294,22.71904,24
"D","50 uM Dexa",29.52965,17.42103,17.88854
"D","50 uM Dexa",27.78489,16.86968,14.82688
"D","50 uM Dexa",16.49242,9.36131,8.94427
"D","50 uM Dexa",23.32381,10.45841,8.48528
"D","50 uM Dexa",20,12.0196,10
"D","50 uM Dexa",26.90725,18.15703,16.97056
"D","50 uM Dexa",16.12452,13.44712,12.79097
"D","50 uM Dexa",14.14214,11.19906,10.77033
"D","50 uM Dexa",15.6205,10.45219,11.31371
"D","50 uM Dexa",14.14214,10.35013,10
"D","50 uM Dexa",20.39608,17.30612,18
"D","50 uM Dexa",16.12452,12.96398,12.80625
"D","50 uM Dexa",24,17.04023,16
"D","50 uM Dexa",24.08319,14.29214,12.15551
"D","50 uM Dexa",22.36068,12.83013,12.80625
"D","50 uM Dexa",23.32381,15.39825,15.6205
"D","50 uM Dexa",16.12452,11.64186,13.41641
"D","50 uM Dexa",38.20995,22.46696,21.26029
"D","50 uM Dexa",36.05551,27.77101,28.07134
"D","50 uM Dexa",18.43909,10.78993,8
"D","50 uM Dexa",26,16.0416,19.69772
"D","50 uM Dexa",21.26029,15.58739,14.56022
"D","50 uM Dexa",19.79899,13.46919,12.16553
"D","50 uM Dexa",15.6205,10.778,10
"D","50 uM Dexa",22.62742,13.70916,12.64911
"D","50 uM Dexa",31.30495,23.70994,24.33105
"D","50 uM Dexa",48,28.54067,29.12044
"D","50 uM Dexa",18,12.64628,12
"D","50 uM Dexa",24.08319,14.40099,14.14214
"D","50 uM Dexa",20.59126,13.46257,12.64911
"D","50 uM Dexa",22.62742,17.87516,17.88854
"D","50 uM Dexa",27.20294,20.9618,22
"D","50 uM Dexa",26.68333,17.17999,18
"D","50 uM Dexa",22,13.98844,12.64911
"D","50 uM Dexa",17.88854,10.26623,8.48528
"D","50 uM Dexa",16.97056,13.97621,15.23155
"D","50 uM Dexa",26.07681,19.95585,19.69772
"D","50 uM Dexa",26.30589,21.94058,22.62742
"D","50 uM Dexa",23.32381,15.40145,15.81025
"D","50 uM Dexa",17.88854,12.52122,12
"D","50 uM Dexa",32.55764,24.18243,24.41311
"D","50 uM Dexa",22,18.40662,17.88854
"D","50 uM Dexa",25.05993,21.70852,24
"D","50 uM Dexa",18.11077,13.56059,15.23155
"D","50 uM Dexa",18.11077,10.54339,8.94427
"D","50 uM Dexa",30.46309,22.52661,23.32381
"D","50 uM Dexa",17.08801,11.30967,10.77033
"D","50 uM Dexa",20,14.26637,14.4222
"D","50 uM Dexa",34.05877,25.91723,27.20294
