"animal","treatment","TreatmentLong","day 1 body weight (g)","day 2 body weight (g)","day 3 body weight (g)","day 4 body weight (g)","day 5 body weight (g)","day 6 body weight (g)","day 7 body weight (g)","day 8 body weight (g)","body weight gain after 1 days (g)","body weight gain after 2 days (g)","body weight gain after 3 days (g)","body weight gain after 4 days (g)","body weight gain after 5 days (g)","body weight gain after 6 days (g)","body weight gain after 7 days (g)","body weight gain after 1 days (percent)","body weight gain after 2 days (percent)","body weight gain after 3 days (percent)","body weight gain after 4 days (percent)","body weight gain after 5 days (percent)","body weight gain after 6 days (percent)","body weight gain after 7 days (percent)","levator (mg)","tibialis (mg)","gastrocnemius (mg)","quadriceps (mg)","triceps (mg)","heart (mg)","levator (permille)","tibialis (permille)","gastrocnemius (permille)","quadriceps (permille)","triceps (permille)","heart (permille)","fat mass before (g)","lean mass before (g)","total water before (g)","fat mass after (g)","lean mass after (g)","total water after (g)","fat mass before (percent of BW)","lean mass before (percent of BW)","total water before (percent of BW)","fat mass after (percent of BW)","lean mass after (percent of BW)","total water after (percent of BW)","fat mass gain (g)","lean mass gain (g)","total water gain (g)","fat mass gain (percent of BW)","lean mass gain (percent of BW)","total water gain (percent of BW)","fat mass gain (percent)","lean mass gain (percent)","total water gain (percent)","gastrocnemius cathepsin activity (rel.u.)","quadriceps cathepsin activity (rel.u.)","triceps cathepsin activity (rel.u.)","gastrocnemius proteasome activity (rel.u.)","quadriceps proteasome activity (rel.u.)","triceps proteasome activity (rel.u.)","triceps calpain activity (rel.u.)","gastrocnemius calpain activity (rel.u.)","gastrocnemius Ct(Becn1) - Ct(Gapdh)","gastrocnemius Ct(Bnip3) - Ct(Gapdh)","gastrocnemius Ct(Ctsl) - Ct(Gapdh)","gastrocnemius Ct(Ddit4) - Ct(Gapdh)","gastrocnemius Ct(Fbxo32) - Ct(Gapdh)","gastrocnemius Ct(Foxo1) - Ct(Gapdh)","gastrocnemius Ct(Foxo3a) - Ct(Gapdh)","gastrocnemius Ct(Foxo4) - Ct(Gapdh)","gastrocnemius Ct(Igf1) - Ct(Gapdh)","gastrocnemius Ct(Igf1r) - Ct(Gapdh)","gastrocnemius Ct(Klf15) - Ct(Gapdh)","gastrocnemius Ct(Map1lc3b) - Ct(Gapdh)","gastrocnemius Ct(Nr3c1) - Ct(Gapdh)","gastrocnemius Ct(Odc) - Ct(Gapdh)","gastrocnemius Ct(Stk11) - Ct(Gapdh)","gastrocnemius Ct(Trim63) - Ct(Gapdh)","quadriceps Ct(Becn1) - Ct(Gapdh)","quadriceps Ct(Bnip3) - Ct(Gapdh)","quadriceps Ct(Ctsl) - Ct(Gapdh)","quadriceps Ct(Ddit4) - Ct(Gapdh)","quadriceps Ct(Fbxo32) - Ct(Gapdh)","quadriceps Ct(Foxo1) - Ct(Gapdh)","quadriceps Ct(Foxo3a) - Ct(Gapdh)","quadriceps Ct(Foxo4) - Ct(Gapdh)","quadriceps Ct(Igf1) - Ct(Gapdh)","quadriceps Ct(Igf1r) - Ct(Gapdh)","quadriceps Ct(Klf15) - Ct(Gapdh)","quadriceps Ct(Map1lc3b) - Ct(Gapdh)","quadriceps Ct(Nr3c1) - Ct(Gapdh)","quadriceps Ct(Odc) - Ct(Gapdh)","quadriceps Ct(Stk11) - Ct(Gapdh)","quadriceps Ct(Trim63) - Ct(Gapdh)","triceps Ct(Becn1) - Ct(Gapdh)","triceps Ct(Bnip3) - Ct(Gapdh)","triceps Ct(Ctsl) - Ct(Gapdh)","triceps Ct(Ddit4) - Ct(Gapdh)","triceps Ct(Fbxo32) - Ct(Gapdh)","triceps Ct(Foxo1) - Ct(Gapdh)","triceps Ct(Foxo3a) - Ct(Gapdh)","triceps Ct(Foxo4) - Ct(Gapdh)","triceps Ct(Igf1) - Ct(Gapdh)","triceps Ct(Igf1r) - Ct(Gapdh)","triceps Ct(Klf15) - Ct(Gapdh)","triceps Ct(Map1lc3b) - Ct(Gapdh)","triceps Ct(Nr3c1) - Ct(Gapdh)","triceps Ct(Odc) - Ct(Gapdh)","triceps Ct(Stk11) - Ct(Gapdh)","triceps Ct(Trim63) - Ct(Gapdh)","gastrocnemius 4EBP protein (normalized to GAPDH)","gastrocnemius phospho-4EBP protein (normalized to GAPDH)","gastrocnemius phospho-4EBP / total 4EBP","gastrocnemius Akt protein (normalized to GAPDH)","gastrocnemius phospho-Akt-Ser473 (normalized to GAPDH)","gastrocnemius phospho-Akt-Ser473 / total Akt","gastrocnemius hyperphosphorylated Akt (normalized to GAPDH)","gastrocnemius hyperphosphorylated Akt / total Akt","gastrocnemius phospho-eIF2alpha (normalized to GAPDH)","gastrocnemius GR protein (normalized to GAPDH)","gastrocnemius IGF1R protein (normalized to GAPDH)","gastrocnemius phospho-IGF1R (normalized to GAPDH)","gastrocnemius phospho-IGF1R / total IGF1R","gastrocnemius LC3-II (normalized to GAPDH)","gastrocnemius LC3-II / LC-I","gastrocnemius mu-calpain protein (normalized to historical actin)","levator 4EBP protein (normalized to GAPDH)","levator phospho-4EBP (normalized to GAPDH)","levator phospho-4EBP / total 4EBP","levator Akt protein (normalized to GAPDH)","levator phospho-Akt-Ser473 (normalized to GAPDH)","levator phospho-Akt-Ser473 / total Akt","levator eIF3f protein (normalized to GAPDH)","levator GR protein (normalized to GAPDH)","levator IGF1R protein (normalized to GAPDH)","levator phospho-IGF1R (normalized to GAPDH)","levator phospho-IGF1R / total IGF1R","levator total LC3 protein (normalized to GAPDH)","levator LC3-II (normalized to GAPDH)","levator LC3-II / LC-I","levator mu-calpain protein (normalized to GAPDH)","tibialis 4EBP protein (normalized to GAPDH)","tibialis phospho-4EBP (normalized to GAPDH)","tibialis phospho-4EBP / total 4EBP","tibialis Akt protein (normalized to GAPDH)","tibialis phospho-Akt-Ser473 (normalized to GAPDH)","tibialis phospho-Akt-Ser473 / total Akt","tibialis LC3-II (normalized to GAPDH)","tibialis LC3-II / LC-I","tibialis GR protein (normalized to GAPDH)"
"D2","D","0.25 mg/day Dexa for 7 day",22.2,22.6,22.4,22.4,22.9,22.3,23.1,23.4,0.4,0.2,0.2,0.7,0.1,0.9,1.2,1.8018018018,0.9009009009,0.9009009009,3.1531531532,0.4504504505,4.0540540541,5.4054054054,63,44.05,92.25,113.9,75.5,107.4,2.6923076923,1.8824786325,3.9423076923,4.8675213675,3.2264957265,4.5897435897,2.303,18.889,13.987,5.257,15.716,12.43,10.3738738739,85.0855855856,63.0045045045,22.4658119658,67.1623931624,53.1196581197,2.954,-3.173,-1.557,12.0919380919,-17.9231924232,-9.8848463848,28.4753799392,-3.7291862989,-2.4712518767,13893,17784,24699,2780,13074,9686,3401,35991.0,5.14985,0.25605,6.0022,4.4093,0.8036,6.1444,8.14075,5.8771,8.23185,8.16495,7.0882,3.0425,5.0013,1.0618,5.46215,-0.0102,7.2035,3.73035,4.7555,6.3499,3.5351,6.7494,8.59215,6.30765,11.43465,9.3307,6.39025,2.63065,4.18115,3.01775,6.15385,5.11,6.4445,1.4533,5.1815,6.52565,2.3212,6.66275,9.07245,6.9678,8.28955,8.34815,6.31345,3.4019,5.84895,1.59595,5.4823,2.182,1.014947116,1.3422814639,1.3225136983,0.5162397796,0.3037045594,0.5883013503,0.2513394462,0.4868657087,3.2050659615,5.817372413,0.3746721093,0.3283682065,0.8764148662,4.0195323382,0.5962433648,0.8667645461,3.242631458,1.9928953951,0.614592013,0.6044749728,0.3241720621,0.5362869873,0.5721339196,0.1951310073,1.4053850594,0.3546884321,0.252378115,0.2555874579,,,0.1931070255,4.3229213309,6.6577166419,1.5400966458,1.7511457431,0.0135313877,0.0077271625,7.5885020046,0.6162572814,4.2137362703
"D3","D","0.25 mg/day Dexa for 7 day",26,25.8,25.7,26.4,26.9,25.9,26.8,26.5,-0.2,-0.3,0.4,0.9,-0.1,0.8,0.5,-0.7692307692,-1.1538461538,1.5384615385,3.4615384615,-0.3846153846,3.0769230769,1.9230769231,68.9,49.25,99.25,137.3,77.9,135.3,2.6,1.858490566,3.7452830189,5.1811320755,2.9396226415,5.1056603774,2.699,22.456,18.621,5.477,18.597,14.473,10.3807692308,86.3692307692,71.6192307692,20.6679245283,70.1773584906,54.6150943396,2.778,-3.859,-4.148,10.2871552975,-16.1918722787,-17.0041364296,26.761022601,-4.4680263627,-5.791740508,19695,20117,18641,1833,13546,8311,2661,,6.07275,-1.3456,6.02305,4.37105,0.9521,6.4409,8.3408,6.0913,7.7902,8.8491,7.48095,3.38255,4.35305,-0.29985,5.62405,0.32925,7.90205,3.508,4.5827,6.69805,3.84685,8.0582,9.9571,7.55045,11.3431,10.38365,7.1701,2.78155,4.74285,3.5386,7.86605,5.45965,6.7022,1.60465,5.5499,6.80075,2.0514,7.4948,9.8006,7.37785,8.284,9.08695,7.41145,4.02705,6.54655,1.3663,6.32185,1.6237,,1.4300988664,,,0.2052508818,,0.2811890416,,1.2049257509,1.5287503797,,,,0.7033497514,0.3876502006,0.8615032518,2.0715186533,2.4661289144,1.1904932212,0.4101228754,0.5242807228,1.2783503537,0.7152152251,0.0612999063,1.0845155031,0.2403308473,0.2216020394,0.2257415358,0.9424087712,0.3305392785,0.3618904121,3.08437235,9.5395824056,3.0928763855,1.3871133066,0.0109293094,0.0078791756,4.2604585494,0.6999568225,2.2194977821
"D4","D","0.25 mg/day Dexa for 7 day",26,25,24.2,24,25.1,23.6,24.6,25.8,-1,-1.8,-2,-0.9,-2.4,-1.4,-0.2,-3.8461538462,-6.9230769231,-7.6923076923,-3.4615384615,-9.2307692308,-5.3846153846,-0.7692307692,53.5,52.2,103.25,128.85,78.15,151.6,2.0736434109,2.023255814,4.0019379845,4.9941860465,3.0290697674,5.8759689922,4.478,20.008,15.965,5.929,17.254,17.341,17.2230769231,76.9538461538,61.4038461538,22.980620155,66.8759689922,67.2131782946,1.451,-2.754,1.376,5.757543232,-10.0778771616,5.8093321407,8.4247431889,-3.5787684926,2.2409019731,21987,27931,21162,6420,17976,11245,,36798.5,4.71965,-0.22295,4.8971,5.1559,0.83755,6.72475,7.32515,4.82605,6.9151,6.73295,6.4374,2.2123,4.456,0.469,3.63835,0.5451,7.0985,2.68175,3.4803,8.4418,3.71705,8.0676,8.8275,6.50385,10.35075,9.0086,6.90245,1.8922,2.57385,2.74595,6.34305,6.07935,6.1236,1.0909,5.02475,7.5585,2.3841,7.56285,9.511,6.38225,7.92545,8.3833,7.26685,3.4218,4.728,1.6045,5.5072,2.68105,,1.5164425249,,,0.1267016055,,0.3708049462,,0.9358266861,1.342727612,,,,0.6709464235,0.3422486091,1.4226153481,1.6456909466,1.415947516,0.8603969773,0.3825757088,0.083943793,0.2194174672,0.584169719,0.3328477173,0.8045424995,0.0058414077,0.0072605334,0.1893954565,0.7664285741,1.5084575585,0.3222246688,,,,,,,4.1349506288,0.5709949065,3.1561479599
"D5","D","0.25 mg/day Dexa for 7 day",27,26.4,26.3,25.2,26.2,25.2,26,27.1,-0.6,-0.7,-1.8,-0.8,-1.8,-1,0.1,-2.2222222222,-2.5925925926,-6.6666666667,-2.962962963,-6.6666666667,-3.7037037037,0.3703703704,64.9,44.1,101.4,143.8,79.25,128,2.3948339483,1.6273062731,3.741697417,5.3062730627,2.9243542435,4.7232472325,4.026,21.028,16.469,6.093,17.716,13.623,14.9111111111,77.8814814815,60.9962962963,22.4833948339,65.3726937269,50.2693726937,2.067,-3.312,-2.846,7.5722837228,-12.5087877545,-10.7269236026,13.8621460507,-4.2526155602,-4.6658570648,22435,29102,21343,3739,11860,15859,6302,28467.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3482931144,1.5916668013,1.460523006,0.9176059995,0.3700335105,0.3031808994,0.8193336303,0.4080829686,0.2147243986,0.8286500548,0.4219435735,0.5091939245,0.1748610871,1.6278120554,0.792160471,0.289076085,,,,,,,3.9666080607,0.6856538009,2.486339233
"D6","D","0.25 mg/day Dexa for 7 day",25.5,23.5,23.4,23.6,24.1,23.4,24,24.8,-2,-2.1,-1.9,-1.4,-2.1,-1.5,-0.7,-7.8431372549,-8.2352941176,-7.4509803922,-5.4901960784,-8.2352941176,-5.8823529412,-2.7450980392,57.4,53.1,97.15,134.9,67.9,134.8,2.314516129,2.1411290323,3.9173387097,5.439516129,2.7379032258,5.435483871,4.078,19.952,17.366,6.02,16.589,11.192,15.9921568627,78.2431372549,68.1019607843,24.2741935484,66.8911290323,45.1290322581,1.942,-3.363,-6.174,8.2820366856,-11.3520082226,-22.9729285262,12.1434526729,-4.2981405373,-9.0658182656,20691,14816,13960,3389,20339,7973,4941,42500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5613154317,1.8010340503,1.2915291164,0.7171042192,0.3865729893,0.2332505401,0.6033803359,0.4813823239,0.1934785453,0.7744314123,0.284474111,0.3673328671,0.2783609117,2.1227418191,1.5422277696,0.3593028163,,,,,,,3.4855532387,0.8073392493,3.5095554795
"DT1","C","0.7 mg/day Testo and 0.25 mg/day Dexa for 7 day",20.8,21.7,22,21.6,22.4,21.4,22.3,23.1,0.9,1.2,0.8,1.6,0.6,1.5,2.3,4.3269230769,5.7692307692,3.8461538462,7.6923076923,2.8846153846,7.2115384615,11.0576923077,69.6,43.3,85.9,131.9,73.8,94.5,3.012987013,1.8744588745,3.7186147186,5.70995671,3.1948051948,4.0909090909,2.934,16.715,12.845,5.396,15.318,11.125,14.1057692308,80.3605769231,61.7548076923,23.3593073593,66.3116883117,48.1601731602,2.462,-1.397,-1.72,9.2535381285,-14.0488886114,-13.5946345321,17.4538513974,-1.7384145977,-2.7852082522,21875,19156,15696,2549,18114,23798,455,,5.7399,1.3958,5.5931,6.6655,1.08965,7.2961,8.82285,5.8494,7.52115,8.29675,7.96575,2.98875,4.96715,0.63845,4.9152,1.5127,7.9101,3.5778,4.9363,8.59705,4.3366,8.9157,10.4137,7.90565,10.99995,10.5338,8.23,3.0036,4.04775,3.6294,7.5633,7.0235,6.95195,2.5824,5.87925,9.04685,2.07575,8.43815,10.3967,6.7778,8.10885,9.4541,8.5833,4.31055,6.0406,2.28095,5.9839,2.48775,1.0540245734,1.4620652112,1.3871263043,0.5705362612,0.3870649086,0.5638669139,0.275801901,0.4017816219,2.357117539,2.7870576391,0.2891277911,0.2195167116,0.7592376737,2.1830482803,0.4649650495,0.8136559878,1.8780898189,1.972846684,1.0504538517,0.4101918073,0.5343244249,1.302620909,0.5173208962,0.1933882615,0.8940965698,0.236806455,0.2183523005,0.1922937076,0.1516057838,0.1332575601,0.2483859329,2.5773760132,5.2775581521,2.0476477336,1.1226669407,0.0167275919,0.0148998703,3.8484371905,0.5131091225,3.464324997
"DT2","C","0.7 mg/day Testo and 0.25 mg/day Dexa for 7 day",26,26.6,26.6,26.8,28.1,26.8,27.6,28.3,0.6,0.6,0.8,2.1,0.8,1.6,2.3,2.3076923077,2.3076923077,3.0769230769,8.0769230769,3.0769230769,6.1538461538,8.8461538462,65.8,48.55,120.85,162.6,76.7,132.3,2.3250883392,1.7155477032,4.2703180212,5.7455830389,2.7102473498,4.6749116608,2.998,21.997,19.832,5.769,20.103,14.066,11.5307692308,84.6038461538,76.2769230769,20.3851590106,71.035335689,49.703180212,2.771,-1.894,-5.766,8.8543897798,-13.5685104648,-26.5737428649,24.0313542362,-2.2386689094,-7.5592981041,20980,22213,17323,4673,10612,6936,8213,41290.0,5.57875,1.7262,6.1019,6.1801,0.4226,6.7669,8.58095,5.9773,7.3175,8.38055,7.5969,3.1788,4.25235,0.2319,5.20795,1.10215,7.6085,4.0331,5.18945,8.4436,3.4067,8.52515,10.2476,7.4135,11.01065,10.5661,8.2267,3.19065,4.94695,2.85045,7.5403,6.15025,6.7663,2.6583,6.22405,8.58485,1.9932,8.02275,10.19,6.6577,7.8748,9.2563,8.5285,4.1478,5.2974,0.78295,5.8858,2.1821,1.0363913398,1.2762460606,1.2314325791,0.5702368788,0.2998211968,0.4802214061,0.229115636,0.3669728294,3.248906922,4.8426086543,0.2167330071,0.1169644538,0.5396707006,3.2909815127,1.0056216047,0.7811789829,1.7108956141,1.6108081399,0.9414999528,0.4113947246,0.0899582171,0.2186664334,0.5533635716,0.1858354037,0.6320529984,0.0952425093,0.1065237387,0.1435885507,4.972504256,2.9812598652,0.2824927575,3.5412915777,6.761446815,1.9093166057,1.2582767791,0.0296394599,0.0235555963,3.7222411962,0.8092090589,2.0411349703
"DT3","C","0.7 mg/day Testo and 0.25 mg/day Dexa for 7 day",25.6,25.6,25.9,26.2,27.2,26.2,27.3,27.5,0,0.3,0.6,1.6,0.6,1.7,1.9,0,1.171875,2.34375,6.25,2.34375,6.640625,7.421875,65.6,51.8,119.3,165.6,75.9,161.6,2.3854545455,1.8836363636,4.3381818182,6.0218181818,2.76,5.8763636364,2.592,22.015,16.008,4.927,20.553,14.823,10.125,85.99609375,62.53125,17.9163636364,74.7381818182,53.9018181818,2.335,-1.462,-1.185,7.7913636364,-11.2579119318,-8.6294318182,23.0617283951,-1.7000772201,-1.8950524738,19729,16612,12482,1493,8692,6733,1845,33400.0,5.1186,1.01095,5.3657,4.3291,0.52605,5.67775,8.0926,5.0536,6.0577,7.0204,7.1117,3.0255,4.60375,-0.22635,4.6033,0.1883,7.50655,3.07605,4.91295,6.9022,2.67265,7.72775,9.39915,6.9115,10.22715,9.92275,7.19505,3.00625,4.60445,2.2743,6.96695,5.78705,7.0721,0.75465,6.18055,8.0819,2.5288,7.6614,10.68265,7.397,7.43175,9.71745,8.67785,4.25205,6.6704,1.60145,6.24945,2.5536,,1.309938807,,,0.1130091468,,0.278176945,,1.0356249746,1.3685522012,,,,0.6739691725,0.7612890518,0.5447261988,1.6409483159,1.2953932556,0.7894174625,0.3868262676,0.3550660052,0.91789528,0.46757173,0.0689112678,0.6594049906,0.1154757218,0.1751210917,0.1025697967,3.1643685822,7.7911473205,0.3432324946,2.3435815499,9.5590789463,4.0788335046,0.987016954,0.0075664768,0.0076660049,4.5051761056,0.9274192793,2.5060306893
"DT4","C","0.7 mg/day Testo and 0.25 mg/day Dexa for 7 day",24.5,25.1,24.9,25.5,26.4,25.5,26.5,26.3,0.6,0.4,1,1.9,1,2,1.8,2.4489795918,1.6326530612,4.0816326531,7.7551020408,4.0816326531,8.1632653061,7.3469387755,75.5,48.65,104.2,163,88.1,169.6,2.8707224335,1.8498098859,3.9619771863,6.1977186312,3.3498098859,6.4486692015,3.083,20.296,14.731,5.666,18.425,16.659,12.5836734694,82.8408163265,60.1265306122,21.5437262357,70.0570342205,63.3422053232,2.583,-1.871,1.928,8.9600527664,-12.783782106,3.2156747109,20.52659747,-2.2585484825,3.2065711764,19735,27356,14371,4704,12247,9895,3496,45216.0,6.47585,1.60255,6.1201,6.8168,4.11545,8.98065,10.33405,7.0011,6.90875,9.5494,9.09385,4.3321,4.13185,0.3638,5.22825,2.54365,7.83375,3.08375,4.6877,7.9055,4.6928,8.6893,9.73555,7.52975,9.34875,9.88725,7.88675,2.80985,2.90345,1.9215,6.91515,6.44065,7.10865,0.6253,5.94985,8.3399,3.13425,8.86055,11.10715,7.54545,7.5998,10.0316,8.78965,4.5091,5.8003,0.11395,6.4555,2.88845,,1.0998529158,,,0.1625049195,,0.2345580343,,1.8485752054,2.2862825302,,,,0.8301473035,0.2810593774,1.959063167,1.6197422936,0.9344857728,0.5769348473,0.3966619747,0.0881397448,0.2222036656,0.4288533124,0.1857490701,0.813219367,0.0458414972,0.0563703953,0.1325154219,0.2950169735,0.1200350505,0.3418142207,,,,,,,2.5200278222,0.5077811075,2.8257699458
"DT5","C","0.7 mg/day Testo and 0.25 mg/day Dexa for 7 day",22.6,23.5,22.9,23.4,23.8,26.2,24.1,24.5,0.9,0.3,0.8,1.2,3.6,1.5,1.9,3.982300885,1.3274336283,3.5398230088,5.3097345133,15.9292035398,6.6371681416,8.407079646,59.6,45.75,103,136.05,87.05,143.6,2.4326530612,1.8673469388,4.2040816327,5.5530612245,3.5530612245,5.8612244898,3.149,18.363,15.715,5.122,17.134,13.104,13.9336283186,81.2522123894,69.5353982301,20.906122449,69.9346938776,53.4857142857,1.973,-1.229,-2.611,6.9724941304,-11.3175185118,-16.0496839444,14.1599872976,-1.5125741981,-3.754922049,,15490,14743,2788,14206,11584,8495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8734758221,1.3434097829,0.8408135335,0.6258801627,0.3400521033,0.0599844977,0.1763979612,0.4945696915,0.1897987402,0.4041556534,0.0594115356,0.1470016196,0.1038564244,0.5913425586,0.2102554014,0.3432414655,,,,,,,6.5195137363,0.7450564802,3.2202617127
