placebo without inhibitor baseline,0.0177777778,0.1635294118
placebo without inhibitor 6 months,0.3511111111,0.1321568627
placebo with inhibitor baseline,1.0222222222,0.0466666667
placebo with inhibitor 6 months,1.3422222222,0.0560784314
testo without inhibitor baseline,2.0044444444,0.1517647059
testo without inhibitor 6 months,2.3377777778,0.1223529412
testo with inhibitor baseline,2.9866666667,0.0678431373
testo with inhibitor 6 months,3.3155555556,0.0439215686
